Postavka;leto;zavarovalnica;Segment;Znesek;Segment_slo;Segment_ang;Segment_num;kratica
PREMIJA;2020;Sava Re;C0080;8955;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2020;Sava Re;C0110;0;Zavarovanje pomoči;assistance;8;ZP
CR;2020;Sava Re;C0040;0,62539036;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2020;Sava Re;C0050;0,601854422;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2020;Sava Re;C0070;1,071887338;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2020;Sava Re;C0080;0,576884422;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2020;Sava Re;C0110;0;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2020;Triglav Re;C0040;10268;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2020;Triglav Re;C0050;5087;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2020;Triglav Re;C0070;53563;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2020;Triglav Re;C0080;1801;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2020;Triglav Re;C0110;915;Zavarovanje pomoči;assistance;8;ZP
CR;2020;Triglav Re;C0040;0,994546163;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2020;Triglav Re;C0050;0,964419108;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2020;Triglav Re;C0070;0,934245655;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2020;Triglav Re;C0080;0,490838423;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2020;Triglav Re;C0110;0,87431694;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2021;Sava;C0040;123099;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2021;Sava;C0050;127232;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2021;Sava;C0070;117780;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2021;Sava;C0080;25466;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2021;Sava;C0110;18316;Zavarovanje pomoči;assistance;8;ZP
CR;2021;Sava;C0040;0,797561312;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2021;Sava;C0050;0,875597334;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2021;Sava;C0070;0,949881134;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2021;Sava;C0080;0,884551952;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2021;Sava;C0110;0,989844944;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2021;Triglav;C0040;91495;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2021;Triglav;C0050;117304;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2021;Triglav;C0070;99370;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2021;Triglav;C0080;26118;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2021;Triglav;C0110;16917;Zavarovanje pomoči;assistance;8;ZP
CR;2021;Triglav;C0040;0,629870485;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2021;Triglav;C0050;0,872152697;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2021;Triglav;C0070;0,923447721;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2021;Triglav;C0080;0,628417184;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2021;Triglav;C0110;1,117751374;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2021;Generali;C0040;51742;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2021;Generali;C0050;66235;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2021;Generali;C0070;46581;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2021;Generali;C0080;12848;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2021;Generali;C0110;7029;Zavarovanje pomoči;assistance;8;ZP
CR;2021;Generali;C0040;0,859456534;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2021;Generali;C0050;0,956760021;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2021;Generali;C0070;0,868057792;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2021;Generali;C0080;0,721201743;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2021;Generali;C0110;1,055057618;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2021;Grawe;C0040;5676;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2021;Grawe;C0050;5438;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2021;Grawe;C0070;3921;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2021;Grawe;C0080;404;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2021;Grawe;C0110;565;Zavarovanje pomoči;assistance;8;ZP
CR;2021;Grawe;C0040;1,072586328;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2021;Grawe;C0050;1,411916146;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2021;Grawe;C0070;0,97296608;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2021;Grawe;C0080;0,643564356;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2021;Grawe;C0110;0,87079646;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2021;Sava Re;C0040;15072;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2021;Sava Re;C0050;20599;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2021;Sava Re;C0070;61119;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2021;Sava Re;C0080;7665;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2021;Sava Re;C0110;22;Zavarovanje pomoči;assistance;8;ZP
CR;2021;Sava Re;C0040;0,497147028;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2021;Sava Re;C0050;0,66765377;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2021;Sava Re;C0070;0,832457992;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2021;Sava Re;C0080;1,054403131;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2021;Sava Re;C0110;0,045454545;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2021;Triglav Re;C0040;9210;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2021;Triglav Re;C0050;5311;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2021;Triglav Re;C0070;57399;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2021;Triglav Re;C0080;1871;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2021;Triglav Re;C0110;892;Zavarovanje pomoči;assistance;8;ZP
CR;2021;Triglav Re;C0040;0,888925081;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2021;Triglav Re;C0050;0,826209753;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2021;Triglav Re;C0070;1,204864196;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2021;Triglav Re;C0080;0,640833779;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2021;Triglav Re;C0110;1,053811659;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2022;Sava;C0040;125460;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
PREMIJA;2022;Sava;C0050;139348;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
PREMIJA;2022;Sava;C0070;117917;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
PREMIJA;2022;Sava;C0080;21022;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
PREMIJA;2022;Sava;C0110;22420;Zavarovanje pomoči;assistance;8;ZP
CR;2022;Sava;C0040;0,920970827;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
CR;2022;Sava;C0050;0,921843155;Druga zavarovanja motornih vozil;other motor insurance;2;DMZ
CR;2022;Sava;C0070;0,998872088;Požarno in drugo škodno zavarovanje;fire and other damage to property insurance;4;POZ
CR;2022;Sava;C0080;0,319617544;Splošno zavarovanje odgovornosti;general liability insurance;5;SZO
CR;2022;Sava;C0110;1,119223907;Zavarovanje pomoči;assistance;8;ZP
PREMIJA;2022;Triglav;C0040;91514;Zavarovanje avtomobilske odgovornosti;motor vehicle liability insurance;1;AO
